iter	Passed	Remaining
413	3767	5332
414	3781	5330
415	3794	5327
416	3809	5325
417	3821	5320
418	3835	5318
419	3850	5316
420	3864	5315
421	3878	5312
422	3892	5309
423	3906	5307
424	3921	5305
425	3934	5301
426	3949	5299
427	3964	5298
428	3979	5296
429	3994	5295
430	4010	5294
431	4025	5292
432	4040	5290
433	4055	5289
434	4070	5286
435	4084	5283
436	4098	5280
437	4113	5277
438	4128	5275
439	4142	5272
440	4156	5269
441	4171	5266
442	4185	5262
443	4200	5260
444	4214	5256
445	4228	5252
446	4244	5250
447	4257	5246
448	4272	5242
449	4288	5241
450	4302	5236
451	4317	5235
452	4333	5232
453	4349	5231
454	4367	5231
455	4385	5231
456	4436	5271
457	4472	5293
458	4497	5301
459	4524	5311
460	4551	5322
461	4582	5336
462	4609	5346
463	4628	5347
464	4657	5358
465	4680	5364
466	4697	5360
467	4713	5358
468	4727	5352
469	4742	5347
470	4758	5344
471	4774	5340
472	4789	5336
473	4805	5332
474	4821	5329
475	4836	5324
476	4851	5319
477	4867	5315
478	4882	5310
479	4897	5305
480	4912	5300
481	4927	5295
482	4942	5290
483	4958	5286
484	4973	5281
485	4988	5275
486	5005	5272
487	5023	5270
488	5038	5264
489	5054	5260
490	5070	5256
491	5085	5250
492	5097	5241
493	5112	5237
494	5130	5233
495	5145	5228
496	5158	5221
497	5175	5216
498	5189	5210
499	5205	5205
500	5220	5199
501	5234	5192
502	5250	5187
503	5265	5182
504	5281	5176
505	5296	5171
506	5310	5164
507	5328	5161
508	5348	5159
509	5367	5156
510	5383	5151
511	5399	5146
512	5415	5140
513	5427	5131
514	5439	5122
515	5454	5115
516	5468	5109
517	5486	5105
518	5505	5102
519	5528	5103
520	5550	5103
521	5567	5098
522	5582	5091
523	5596	5083
524	5611	5076
525	5627	5070
526	5644	5066
527	5662	5062
528	5679	5057
529	5696	5051
530	5713	5046
531	5731	5041
532	5750	5038
533	5767	5032
534	5782	5025
535	5800	5020
536	5821	5019
537	5844	5019
538	5863	5014
539	5877	5007
540	5893	4999
541	5910	4994
542	5925	4986
543	5940	4979
544	5956	4972
545	5972	4965
546	5987	4958
547	6003	4951
548	6019	4945
549	6036	4938
550	6057	4935
551	6076	4931
552	6093	4925
553	6110	4918
554	6125	4911
555	6141	4904
556	6157	4897
557	6172	4889
558	6188	4881
559	6204	4874
560	6219	4867
561	6235	4859
562	6252	4853
563	6267	4845
564	6282	4836
565	6298	4829
566	6316	4823
567	6333	4816
568	6350	4810
569	6366	4802
570	6381	4794
571	6398	4787
572	6414	4780
573	6431	4773
574	6444	4763
575	6460	4755
576	6474	4746
577	6489	4737
578	6504	4729
579	6519	4721
580	6536	4713
581	6554	4707
582	6577	4704
583	6600	4701
584	6617	4694
585	6635	4687
586	6651	4679
587	6673	4676
588	6691	4669
589	6708	4661
590	6725	4654
591	6745	4648
592	6766	4644
593	6785	4637
594	6805	4632
595	6819	4622
596	6841	4618
597	6863	4614
598	6884	4608
599	6904	4602
600	6924	4596
601	6943	4590
602	6958	4581
603	6974	4572
604	6991	4564
605	7007	4556
606	7023	4547
607	7039	4538
608	7056	4530
609	7074	4523
610	7093	4515
611	7114	4510
612	7132	4502
613	7150	4495
614	7166	4486
615	7181	4476
616	7197	4467
617	7212	4458
618	7227	4448
619	7244	4440
620	7259	4430
621	7273	4420
622	7287	4410
623	7303	4401
624	7319	4391
625	7334	4382
626	7350	4372
627	7366	4363
628	7382	4354
629	7398	4345
630	7414	4336
631	7430	4326
632	7445	4316
633	7461	4307
634	7476	4297
635	7492	4287
636	7508	4278
637	7522	4268
638	7539	4259
639	7556	4250
640	7573	4241
641	7588	4231
642	7605	4222
643	7625	4215
644	7642	4206
645	7659	4197
646	7675	4187
647	7691	4178
648	7710	4169
649	7727	4161
650	7745	4152
651	7764	4144
652	7783	4136
653	7803	4128
654	7819	4118
655	7836	4109
656	7852	4099
657	7869	4090
658	7887	4081
659	7907	4073
660	7928	4066
661	7949	4058
662	7970	4051
663	7990	4043
664	8011	4035
665	8032	4028
666	8052	4020
667	8084	4018
668	8111	4013
669	8133	4005
670	8151	3996
671	8170	3987
672	8188	3978
673	8204	3968
674	8220	3957
675	8235	3947
676	8251	3937
677	8267	3926
678	8283	3915
679	8297	3904
680	8310	3892
681	8321	3880
682	8337	3869
683	8352	3858
684	8369	3848
685	8385	3838
686	8402	3828
687	8420	3818
688	8436	3808
689	8453	3797
690	8469	3787
691	8486	3777
692	8502	3766
693	8518	3755
694	8534	3745
695	8550	3734
696	8566	3724
697	8581	3713
698	8597	3702
699	8613	3691
700	8628	3680
