iter	F1	Logloss
0	0.6757525133	0.6913597045
1	0.5722132665	0.6899525564
2	0.3931931086	0.6885271814
3	0.4687432351	0.686751176
4	0.5952200377	0.6850941795
5	0.5946682234	0.6834211052
6	0.6245651784	0.6818381377
7	0.6541374661	0.6803288867
8	0.6526985409	0.6801356715
9	0.6510885981	0.6798480824
10	0.6283750614	0.6787616429
11	0.6571134345	0.6783770057
12	0.6374478455	0.6771853786
13	0.674163356	0.6764256983
14	0.6521305401	0.6753400623
15	0.6398470251	0.6742737609
16	0.6081081081	0.67301855
17	0.5969862135	0.6720612079
18	0.5615170153	0.6709521458
19	0.5669358086	0.6707868125
20	0.5550334553	0.6699758337
21	0.5414653606	0.6690490914
22	0.5708859958	0.6685047616
23	0.5538327904	0.6676513113
24	0.5626916561	0.666425863
25	0.5494404415	0.6655987508
26	0.5480053571	0.6653588721
27	0.5329727293	0.6646494161
28	0.5242175686	0.6638786396
29	0.5443499392	0.6633816021
30	0.5410130683	0.6625763599
31	0.5564343134	0.66143402
32	0.560336683	0.6603017174
33	0.5920624593	0.6596064864
34	0.5825829556	0.6589747767
35	0.5874143047	0.6587548198
36	0.5800815376	0.6581186438
37	0.5685641461	0.657339856
38	0.5887211094	0.6568841421
39	0.5939191664	0.6558947857
40	0.5986515045	0.6548422137
41	0.6038095238	0.6538703854
42	0.595770515	0.6530739425
43	0.5978481649	0.65206362
44	0.6119808463	0.6516535587
45	0.6040127553	0.6510356956
46	0.609914637	0.6501517789
47	0.6133649234	0.6492767182
48	0.6093688903	0.6486578878
49	0.6134740764	0.6478369036
50	0.6096401104	0.6473877318
51	0.6059220124	0.6468189459
52	0.5981607998	0.6461623818
53	0.591653975	0.645504735
54	0.5992149323	0.6449680963
55	0.5995188452	0.6443584233
56	0.6004831014	0.643566498
57	0.6082458066	0.6431862639
58	0.6060223869	0.64275559
59	0.6022086279	0.6420762884
60	0.59976472	0.6418741683
61	0.6048738205	0.6414608153
62	0.6034807056	0.6410208799
63	0.6041378219	0.6401933778
64	0.6092855048	0.6398202026
65	0.6132252874	0.6393205332
66	0.6196794233	0.6387236806
67	0.6254988368	0.6383425723
68	0.6283579568	0.6380773809
69	0.6282164374	0.6380552689
70	0.6380350051	0.6372426281
71	0.6359690438	0.6370855311
72	0.640972146	0.6367669501
73	0.648015381	0.6364705517
74	0.6522980303	0.6358094843
75	0.6572518006	0.6354822185
76	0.6608994718	0.6349243378
77	0.6566657232	0.634483842
78	0.6584304119	0.6339477256
79	0.6606303081	0.6337741411
80	0.6574258824	0.6334227986
81	0.6593676959	0.6329704375
82	0.6569188387	0.6327619598
83	0.6557539507	0.6326327546
84	0.6587389673	0.6321271301
85	0.6580556486	0.6315951424
86	0.6616657049	0.63103704
87	0.6645260947	0.6306850352
88	0.6661845232	0.6303504075
89	0.6685259646	0.6300478474
90	0.6691465038	0.6296075854
91	0.6687926482	0.6293608469
92	0.6711272628	0.6291615593
93	0.669778853	0.6289429794
94	0.6695585609	0.6284927698
95	0.6685084757	0.6283991913
96	0.6695381263	0.6279039816
97	0.6684894053	0.6275757273
98	0.6701841577	0.6271142935
99	0.6717060439	0.6266853202
100	0.6693188997	0.6263559831
101	0.671756759	0.6261584021
102	0.6709546033	0.6259664907
103	0.6686714051	0.6258944927
104	0.6711864407	0.6254009388
105	0.6714026551	0.6250329674
106	0.6735251459	0.6248127641
107	0.6747651931	0.6243893241
108	0.6727407707	0.624132438
109	0.6738457397	0.6237040575
110	0.6727936208	0.6234805892
111	0.6730406679	0.6232072659
112	0.6720617614	0.6229573099
113	0.6703507847	0.6226346533
114	0.6714292987	0.6223231643
115	0.6719338103	0.6223024915
116	0.6733001098	0.6219867754
117	0.6721458711	0.6217170028
118	0.6688058988	0.6215156261
119	0.6670328161	0.6212487272
120	0.6665518548	0.6210428246
121	0.665999655	0.620960543
122	0.6658614859	0.6209340692
123	0.6645544417	0.620665632
124	0.6646456597	0.6206333435
125	0.6654361664	0.620486677
126	0.6652743497	0.6203615994
127	0.664843723	0.6202586537
128	0.6653301072	0.620034778
129	0.6635189557	0.619832937
130	0.6645199266	0.6196386334
131	0.6663676202	0.6194315065
132	0.6648652394	0.6191806071
133	0.6640953473	0.6189878358
134	0.6651788031	0.6188264776
135	0.6647984778	0.6185059463
136	0.664633301	0.6183357854
137	0.6629180231	0.6180959662
138	0.6636789995	0.6178374531
139	0.6633162334	0.6177918589
140	0.6659873228	0.6175552025
141	0.6673322546	0.61727899
142	0.6667471584	0.6171432709
143	0.6669189747	0.6168670219
144	0.6697458004	0.6165722872
145	0.6709774282	0.6163544748
146	0.6704231124	0.6162685115
147	0.6694388829	0.6162050882
148	0.6677204316	0.6160236686
149	0.666574776	0.6158603785
150	0.6654341253	0.6156953083
151	0.6658847879	0.6155779345
152	0.6661503244	0.6153618179
153	0.6672284226	0.6151371629
154	0.6684151881	0.6150190709
155	0.6667010753	0.6148581195
156	0.6685871056	0.6146673623
157	0.6668042656	0.6145798013
158	0.6670218067	0.6143692424
159	0.6666896433	0.6142163006
160	0.6656424243	0.6141624359
161	0.6658739596	0.6139886674
162	0.6664599483	0.6138053629
163	0.6664832141	0.6136701693
164	0.6659425163	0.6135076212
165	0.664891962	0.6133929547
166	0.6655619994	0.6132672557
167	0.6653886673	0.613203166
168	0.6659425163	0.6129897959
169	0.6664252083	0.6129687009
170	0.6678810792	0.6128583928
171	0.6676634872	0.612682191
172	0.6662068966	0.6124902777
173	0.6676294615	0.6123946381
174	0.6675934984	0.6122755821
175	0.6687213205	0.6121373555
176	0.6687645369	0.6119820664
177	0.6681836068	0.6119451233
178	0.6671583678	0.611825511
179	0.6673406789	0.6116126492
180	0.6687129118	0.6113603002
181	0.6692482216	0.6113285079
182	0.6674417014	0.6112662343
183	0.6675215867	0.6111958983
184	0.6688287304	0.6110126362
185	0.6689876442	0.6109313178
186	0.6688972346	0.6108832107
187	0.6688296165	0.6108049098
188	0.6687636761	0.6106887176
189	0.6686738744	0.6105864726
190	0.6690685563	0.6104374701
191	0.6670893668	0.6102712961
192	0.666941128	0.6102253037
193	0.6665865261	0.6101905498
194	0.6672827463	0.6099989294
195	0.6688278451	0.6099102287
196	0.6678626958	0.6098791283
197	0.6697319574	0.6097657898
198	0.6723053715	0.6096023221
199	0.673530456	0.6095227204
200	0.6727352712	0.6094912473
201	0.6741360691	0.6094084396
202	0.6740426682	0.6092704804
203	0.6736244807	0.60911907
204	0.672812463	0.609034362
205	0.6719046329	0.6089732794
206	0.6735504369	0.6088997555
207	0.6728466067	0.608839559
208	0.6730147992	0.6086900959
209	0.6735390543	0.6086012374
210	0.6740391099	0.6084961369
211	0.6742489343	0.6082938977
212	0.674347029	0.6082290121
213	0.674577127	0.6081832585
214	0.6743016666	0.6081017233
215	0.6744844319	0.6080003393
216	0.6747474747	0.6078240354
217	0.6747474747	0.607804261
218	0.6750113409	0.6077425792
219	0.6747929153	0.6075878252
220	0.6755866335	0.6074785862
221	0.6754418448	0.607382294
222	0.6755029267	0.6072869359
223	0.6751418613	0.6072118272
224	0.676056338	0.6071097015
225	0.6760525475	0.6070606032
226	0.6763518967	0.6069341377
227	0.6761358861	0.6068121119
228	0.6760146609	0.6067719301
229	0.6760639102	0.6066799061
230	0.6758558165	0.6065424567
231	0.6760185247	0.606412253
232	0.6762112322	0.6063062786
233	0.6761017376	0.6062078531
234	0.676097888	0.6061135998
235	0.6759276368	0.6059629046
236	0.6756706877	0.6058675971
237	0.6768457219	0.6057564328
238	0.6768725163	0.6056827208
239	0.6770995823	0.605612523
240	0.677115568	0.6054599873
241	0.6768583028	0.6053589433
242	0.6762330641	0.6052814737
243	0.6765671617	0.6051730008
244	0.6760074726	0.6051628326
245	0.677776669	0.6050905045
246	0.6778422023	0.6050062592
247	0.6779818801	0.6049728391
248	0.6778104885	0.6049725253
249	0.6778691931	0.6048903064
250	0.6779863964	0.6048097429
251	0.6777633808	0.6047112229
252	0.6775564409	0.6046525826
253	0.6776639617	0.6045001425
254	0.6780900464	0.6044799205
255	0.6781418223	0.6043581247
256	0.6779233285	0.6042588413
257	0.6781418223	0.6042150408
258	0.678755703	0.6041404436
259	0.6784339748	0.604060237
260	0.6782519212	0.6040085396
261	0.6782068943	0.6039856503
262	0.6786045895	0.6039391218
263	0.6783664532	0.6039104135
264	0.6785820871	0.6038481365
265	0.6783326975	0.6037851329
266	0.678238626	0.6037264649
267	0.6781530895	0.6037190155
268	0.6780833306	0.603670218
269	0.6783804431	0.6036155545
270	0.6785043935	0.6035431875
271	0.6789535675	0.6034677968
272	0.6787717842	0.6034251285
273	0.6785607495	0.6033731751
274	0.6785043935	0.6033433275
275	0.678612352	0.6032668344
276	0.6784931234	0.6032182803
277	0.6781284294	0.6031787253
278	0.6781760368	0.6031120997
279	0.6774844487	0.6030631386
280	0.6782863225	0.6029677087
281	0.6790761005	0.6029264631
282	0.6788393865	0.6028561123
283	0.678612352	0.6027992946
284	0.6791324853	0.6027766387
285	0.6789795376	0.6026905456
286	0.6787298739	0.6026698203
287	0.6785749925	0.6026035701
288	0.6787766081	0.6025017182
289	0.678646162	0.6024946295
290	0.6785185678	0.6023583506
291	0.6784668619	0.6023178435
292	0.6775279027	0.6022744175
293	0.6779209536	0.6022084176
294	0.6773376017	0.6021402747
295	0.6767832074	0.6021251496
296	0.676689466	0.6020461794
297	0.6767274552	0.6020136235
298	0.6767840709	0.6020134776
299	0.6768746758	0.6019832213
300	0.6769086588	0.6019082808
301	0.6766942481	0.6018518294
302	0.6765322027	0.601781732
303	0.676600238	0.6017756533
304	0.6761319773	0.6017412286
305	0.6760184796	0.6016670505
306	0.6757683772	0.6015569981
307	0.6758175212	0.6015113348
308	0.676056338	0.6014553663
309	0.6761699839	0.6014276081
310	0.6760298367	0.6013921877
311	0.6756129553	0.6012740858
312	0.6755370149	0.601243679
313	0.6755824712	0.6011807478
314	0.67524419	0.6011510086
315	0.6754716981	0.6010985864
316	0.6751214247	0.6010571101
317	0.6752169883	0.6010167705
318	0.6752476582	0.6009770388
319	0.6755860723	0.6009465408
320	0.6755519655	0.6008761418
321	0.6755334353	0.6008470377
322	0.6756052016	0.6008169227
323	0.6752189922	0.6007626287
324	0.6756620344	0.600736378
325	0.675168034	0.600623689
326	0.6749620637	0.6005629698
327	0.6751976801	0.6005195796
328	0.6749687827	0.6004283247
329	0.6748387533	0.6003697061
330	0.6747134392	0.6002934812
331	0.6746874104	0.6002333344
332	0.6751749136	0.6001692751
333	0.6750724833	0.6001022771
334	0.6751293852	0.6000596663
335	0.6751783576	0.5999971652
336	0.6745116577	0.5999811372
337	0.6743295019	0.5999324451
338	0.6750645014	0.5998590012
339	0.6745426315	0.5997965933
340	0.6751214247	0.5997504393
341	0.6750792901	0.5997040743
342	0.6751976801	0.5996767279
343	0.6752283682	0.5996296179
344	0.6748971193	0.5995902022
345	0.6750042137	0.599530163
346	0.6753912574	0.5994587664
347	0.6753036437	0.599440051
348	0.6751248482	0.5993434878
349	0.6748729379	0.5992768519
350	0.6752045896	0.5992549561
351	0.6748159654	0.5992138747
352	0.6742932459	0.5991643896
353	0.6743160349	0.599133689
354	0.6732452057	0.5990933464
355	0.6733249822	0.5990670839
356	0.6733276884	0.5990480922
357	0.6731505642	0.5989970851
358	0.6733504945	0.5989284389
359	0.672881988	0.5988903835
360	0.6729098806	0.5988186603
361	0.6728071515	0.5987595721
362	0.6728642193	0.5987558006
363	0.672961839	0.5987202751
364	0.6730163034	0.5986723006
365	0.6729934924	0.5985924873
366	0.6728363673	0.5985752822
367	0.6728731071	0.5985347323
368	0.6725927936	0.598518166
369	0.6726865368	0.5984470874
370	0.6726840855	0.5983700803
371	0.6731619703	0.5982985296
372	0.6728933941	0.5982928111
373	0.6727134017	0.5982499397
374	0.6725699746	0.5981990501
375	0.6730899715	0.5981682149
376	0.6724767681	0.5980995755
377	0.6724744001	0.5980643575
378	0.6725657705	0.5980470223
379	0.6725567487	0.5980223189
380	0.6724334245	0.5980025202
381	0.6715988911	0.5979738647
382	0.6716103136	0.5979737869
383	0.6719945587	0.5979541403
384	0.6718617076	0.5979072807
385	0.6713667791	0.5978494165
386	0.6707452157	0.5978308911
387	0.6705884359	0.5978150884
388	0.6702828097	0.5978028286
389	0.6700455639	0.5977943056
